sno,h,sub_h,link
53,Chittoor man dies in Oz car accident,"A 27-year-old man, Sai Rohit Paladugu from Polakala Yellampally village in Chittoor district, died on the spot in a car crash while travelling on Goulbourn Valley highway. He reportedly lost control over the vehicle and rammed into a tree.",https://timesofindia.indiatimes.com/city/vijayawada/chittoor-man-dies-in-oz-car-accident/articleshow/95463331.cms
54,AP: Father-son doctor duo killed in Road accident near Srikakulam,"A man and his son were killed, his wife and daughter suffered severe injuries when their car hit sidewall of a bridge on the NH-16 near Peddinaidupeta village under Nandigam Mandal in Srikakulam district on Monday early morning.",https://timesofindia.indiatimes.com/city/visakhapatnam/ap-father-son-doctor-duo-killed-in-road-accident-in-srikakulam/articleshow/95500870.cms
55,Andhra Pradesh: Death toll rises to 7 in Planadu road mishap,At least six people were killed and 10 others suffered injuries when a Tata Ace vehicle rammed into a lorry in Andhra Pradesh’s Planadu district late on Sunday night.,https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-6-killed-10-injured-as-vehicle-rams-into-lorry-in-planadu/articleshow/91878143.cms
56,Visakhapatnam: Teen killed in Road accident,"A 17-year-old youngster was killed when he fell off his bike after hitting a bus and later came under the wheels of another vehicle near RTC complex in Vizag city. The deceased was identified as Gavara Deepak Kumar, a first-year intermediate student and a resident of Kancharapalem .",https://timesofindia.indiatimes.com/city/visakhapatnam/teen-killed-in-road-accident/articleshow/92689466.cms
57,Vijayawada: Pedestrian dies in Road accident,"A man died and 20 people were injured in an accident at Pusalapadu of Prakasam district on Thursday after a bus, going from Ananthapur to Vijayawada, collided with a lorry. According to police, the deceased was identified as Janga Sambashivudu (79).",https://timesofindia.indiatimes.com/city/vijayawada/pedestrian-dies-in-road-accident/articleshow/92586205.cms
58,Andhra Pradesh: Two die in Road accident at Jupudi,"Two friends died in a Road accident at Jupudi village of Ibrahimpatnam mandal on Vijayawada-Hyderabad National Highway.According to the police, Sheik Basha (16) and Chinnam Prashanth (17), a second-year intermediate student of Jupudi village, were childhood friends.",https://timesofindia.indiatimes.com/city/vijayawada/two-die-in-road-accident-at-jupudi/articleshow/93670291.cms
59,Andhra Pradesh: Over 20 injured in bus accident in Srikakulam,Over 20 people suffered injuries when a private bus in which they were travelling hit a culvert and plunged into a roadside canal near Peddatamarapalle in Srikakulam district in the wee hours of Monday.,https://timesofindia.indiatimes.com/city/visakhapatnam/andhra-pradesh-over-20-injured-in-bus-accident-in-srikakulam/articleshow/92330675.cms
60,"Andhra Pradesh: Woman, son killed in Road accident",A woman and her son were killed in a Road accident when their bike was hit by a lorry near Duddupalem area under Chodavaram police station limits in Anakapalle district.,https://timesofindia.indiatimes.com/city/visakhapatnam/woman-son-killed-in-road-accident/articleshow/93532842.cms
61,Five of family killed in Andhra Pradesh Road accident,Five members of a family died in a Road accident on the Amaravati-Anantapur National Highway near Kambham in Prakasam district in the early hours of Monday.,https://timesofindia.indiatimes.com/city/vijayawada/5-of-family-killed-in-ap-road-accident/articleshow/93442872.cms
62,Andhra Pradesh: 3 killed in Road accident in West Godavari,Three women were killed in a Road accident at Valluru under Ganapavaram mandal in Eluru district. Another two persons were severely injured in the accident.,https://timesofindia.indiatimes.com/city/visakhapatnam/andhra-pradesh-3-killed-in-road-accident-in-west-godavari/articleshow/93716237.cms
63,Dy tahsildar dies in Road accident,The deputy tahsildar of Srikakulam rural was killed and five others injured when their car hit the divider at a flyover near Sanakram Bridge in Anakapalli district in the early hours of Friday.,https://timesofindia.indiatimes.com/city/visakhapatnam/dy-tahsildar-dies-in-road-accident/articleshow/91697604.cms
64,2 killed in 2 Road accidents,"Two persons were killed in two separate Road accidents in Vizag on Friday. In the first incident, a 17-year-old student was killed after he was hit by a bus while crossing the road near Butchiraju Palem under airport police station limits.",https://timesofindia.indiatimes.com/city/visakhapatnam/2-killed-in-2-road-accidents/articleshow/91551971.cms
